Chunk_size,Chunk_Overlap,Dist_Func,Top_N,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
25,0,pairwise,4,2161.398950815201,7,7,0,0,0,0,0
25,0,pairwise,4,2169.925138950348,7,10,0,0,0,0,0
25,0,pairwise,4,2178.5840249061584,7,11,0,0,0,0,0
25,0,pairwise,4,2187.278007745743,8,5,0,0,0,0,0
25,0,pairwise,4,2194.7407927513123,9,0,0,0,0,0,0
25,0,pairwise,4,2201.2585847377777,10,0,0,0,0,0,0
25,0,pairwise,4,2208.0638949871063,11,2,0,0,0,0,0
25,0,pairwise,4,2220.0087990760803,13,6,0,0,0,0,0
25,0,pairwise,4,2229.0508370399475,14,2,0,0,0,0,0
25,0,pairwise,4,2237.827981710434,16,3,0,0,0,0,0
25,0,pairwise,4,2248.6165449619293,18,5,0,0,0,0,0
25,0,pairwise,4,2259.0382509231567,18,7,0,0,0,0,0
25,0,pairwise,4,2267.5856347084045,18,8,0,0,0,0,0
25,0,pairwise,4,2278.4823989868164,19,5,0,1.0,0.6666666666666666,0.8,0
25,0,pairwise,4,2290.0075619220734,19,6,0,0.14285714285714285,1.0,0.25,0
25,0,pairwise,4,2301.2218329906464,19,8,0,0.25,1.0,0.4,0
25,0,pairwise,4,2307.8718559741974,20,2,0,0,0,0,0
25,0,pairwise,4,2314.200576066971,20,4,0,0,0,0,0
25,0,pairwise,4,2320.6768450737,20,7,0,0,0,0,0
25,0,pairwise,4,2331.779184818268,21,3,0,0,0,0,0
25,0,pairwise,4,2342.4089620113373,28,24,0,0,0,0,0
25,0,pairwise,4,2351.511373758316,32,0,1,0,0,0,0
25,0,pairwise,4,2362.8557147979736,32,1,0,0,0,0,0
25,0,pairwise,4,2371.4152750968933,32,3,0,0,0,0,0
25,0,pairwise,4,2382.8689699172974,32,9,0,0,0,0,0
25,0,pairwise,4,2389.3734669685364,33,5,0,0,0,0,0
25,0,pairwise,4,2396.39844083786,36,1,0,0,0,0,0
25,0,pairwise,4,2408.1827347278595,37,1,0,0,0,0,0
25,0,pairwise,4,2419.5279717445374,37,2,0,0,0,0,0
25,0,pairwise,4,2431.217763900757,37,3,0,0,0,0,0
25,0,pairwise,4,2437.7230458259583,37,4,0,0,0,0,0
25,0,pairwise,4,2449.3671238422394,37,5,0,0,0,0,0
25,0,pairwise,4,2455.908257007599,37,8,0,0,0,0,0
25,0,pairwise,4,2462.213795900345,38,8,0,0,0,0,0
25,0,pairwise,4,2466.34180188179,39,1,0,0,0,0,0
25,0,pairwise,4,2473.7830839157104,40,2,0,0,0,0,0
25,0,pairwise,4,2481.112198829651,43,2,0,0,0,0,0
25,0,pairwise,4,2487.1220219135284,43,3,0,0,0,0,0
25,0,pairwise,4,2493.4583990573883,43,5,0,0,0,0,0
25,0,pairwise,4,2500.1800899505615,45,4,0,0,0,0,0
25,0,pairwise,4,2512.029902935028,48,0,0,0,0,0,0
25,0,pairwise,4,2523.5158479213715,48,1,0,0,0,0,0
25,0,pairwise,4,2535.0177619457245,48,2,0,0,0,0,0
25,0,pairwise,4,2546.5816819667816,48,3,0,0,0,0,0
25,0,pairwise,4,2558.3602209091187,48,4,0,0,0,0,0
25,0,pairwise,4,2569.887993812561,48,5,0,0,0,0,0
25,0,pairwise,4,2581.389216899872,48,6,0,0,0,0,0
25,0,pairwise,4,2593.0625858306885,48,7,0,0,0,0,0
25,0,pairwise,4,2599.653932094574,49,7,0,0,0,0,0
25,0,cosine,2,2607.8774909973145,0,0,1,1.0,1.0,1.0,0
25,0,cosine,2,2616.3009548187256,0,1,0,0,0,0,0
25,0,cosine,2,2624.8021218776703,0,2,0,0,0,0,0
25,0,cosine,2,2633.295816898346,0,5,0,0,0,0,0
25,0,cosine,2,2641.458786725998,0,6,0,0,0,0,0
25,0,cosine,2,2649.717264890671,0,8,1,1.0,1.0,1.0,0
25,0,cosine,2,2655.664265871048,5,2,0,0,0,0,0
25,0,cosine,2,2660.186495065689,5,7,0,0,0,0,0
25,0,cosine,2,2665.267693042755,7,4,0,0,0,0,0
25,0,cosine,2,2674.7684910297394,7,7,0,0,0,0,0
25,0,cosine,2,2683.287250995636,7,10,0,0,0,0,0
25,0,cosine,2,2691.940343141556,7,11,0,0,0,0,0
25,0,cosine,2,2700.639657974243,8,5,0,0,0,0,0
25,0,cosine,2,2708.109202861786,9,0,0,0,0,0,0
25,0,cosine,2,2714.6547269821167,10,0,0,0,0,0,0
25,0,cosine,2,2721.4042139053345,11,2,0,0,0,0,0
25,0,cosine,2,2733.3069870471954,13,6,0,0,0,0,0
25,0,cosine,2,2742.3474848270416,14,2,0,0,0,0,0
25,0,cosine,2,2751.115387916565,16,3,0,0,0,0,0
25,0,cosine,2,2761.8381609916687,18,5,0,0,0,0,0
25,0,cosine,2,2772.261663913727,18,7,0,0,0,0,0
25,0,cosine,2,2780.8123540878296,18,8,0,0,0,0,0
25,0,cosine,2,2791.699198961258,19,5,0,1.0,0.6666666666666666,0.8,0
25,0,cosine,2,2803.224259853363,19,6,0,0.14285714285714285,1.0,0.25,0
25,0,cosine,2,2814.4388217926025,19,8,0,0.25,1.0,0.4,0
25,0,cosine,2,2821.02596783638,20,2,0,0,0,0,0
25,0,cosine,2,2827.3540019989014,20,4,0,0,0,0,0
25,0,cosine,2,2833.8258979320526,20,7,0,0,0,0,0
25,0,cosine,2,2844.949113845825,21,3,0,0,0,0,0
25,0,cosine,2,2855.457685947418,28,24,0,0,0,0,0
25,0,cosine,2,2864.5432188510895,32,0,1,0,0,0,0
25,0,cosine,2,2875.886818885803,32,1,0,0,0,0,0
25,0,cosine,2,2884.4500920772552,32,3,0,0,0,0,0
25,0,cosine,2,2893.1178398132324,32,9,0,0,0,0,0
25,0,cosine,2,2899.641288995743,33,5,0,0,0,0,0
25,0,cosine,2,2906.709065914154,36,1,0,0,0,0,0
25,0,cosine,2,2918.469794034958,37,1,0,0,0,0,0
25,0,cosine,2,2929.822432041168,37,2,0,0,0,0,0
25,0,cosine,2,2941.5226209163666,37,3,0,0,0,0,0
25,0,cosine,2,2948.033546924591,37,4,0,0,0,0,0
25,0,cosine,2,2959.6633610725403,37,5,0,0,0,0,0
25,0,cosine,2,2966.199259996414,37,8,0,0,0,0,0
25,0,cosine,2,2972.515913963318,38,8,0,0,0,0,0
25,0,cosine,2,2976.6369338035583,39,1,0,0,0,0,0
25,0,cosine,2,2983.9946389198303,40,2,0,0,0,0,0
25,0,cosine,2,2991.2007088661194,43,2,0,0,0,0,0
25,0,cosine,2,2997.291801929474,43,3,0,0,0,0,0
25,0,cosine,2,3003.637685060501,43,5,0,0,0,0,0
25,0,cosine,2,3010.349592924118,45,4,0,0,0,0,0
25,0,cosine,2,3022.200954914093,48,0,0,0,0,0,0
25,0,cosine,2,3033.6815428733826,48,1,0,0,0,0,0
25,0,cosine,2,3045.194053888321,48,2,0,0,0,0,0
25,0,cosine,2,3056.760802745819,48,3,0,0,0,0,0
25,0,cosine,2,3068.527266740799,48,4,0,0,0,0,0
25,0,cosine,2,3080.0566790103912,48,5,0,0,0,0,0
25,0,cosine,2,3091.523349046707,48,6,0,0,0,0,0
25,0,cosine,2,3103.2088010311127,48,7,0,0,0,0,0
25,0,cosine,2,3109.7969558238983,49,7,0,0,0,0,0
25,0,cosine,4,3118.0362119674683,0,0,1,1.0,1.0,1.0,0
25,0,cosine,4,3126.471698999405,0,1,0,0,0,0,0
25,0,cosine,4,3134.9850418567657,0,2,0,0,0,0,0
25,0,cosine,4,3143.4806957244873,0,5,0,0,0,0,0
25,0,cosine,4,3151.6559689044952,0,6,0,0,0,0,0
25,0,cosine,4,3159.919373035431,0,8,1,1.0,1.0,1.0,0
25,0,cosine,4,3165.862916946411,5,2,0,0,0,0,0
25,0,cosine,4,3170.3757739067078,5,7,0,0,0,0,0
25,0,cosine,4,3179.2359738349915,7,4,0,0,0,0,0
25,0,cosine,4,3188.765520811081,7,7,0,0,0,0,0
25,0,cosine,4,3197.294583082199,7,10,0,0,0,0,0
25,0,cosine,4,3205.9647529125214,7,11,0,0,0,0,0
25,0,cosine,4,3214.696366786957,8,5,0,0,0,0,0
25,0,cosine,4,3222.1592288017273,9,0,0,0,0,0,0
25,0,cosine,4,3227.090651988983,10,0,0,0,0,0,0
25,0,cosine,4,3231.8455579280853,10,1,0,0,0,0,0
25,0,cosine,4,3238.627786874771,11,1,0,0,0,0,0
25,0,cosine,4,3245.1435220241547,11,2,0,0,0,0,0
25,0,cosine,4,3257.14315700531,13,6,0,0,0,0,0
25,0,cosine,4,3266.222640991211,14,2,0,0,0,0,0
25,0,cosine,4,3275.067631959915,16,3,0,0,0,0,0
25,0,cosine,4,3285.850534915924,18,5,0,0,0,0,0
25,0,cosine,4,3296.2974529266357,18,7,0,0,0,0,0
25,0,cosine,4,3304.867513895035,18,8,0,0,0,0,0
25,0,cosine,4,3315.770961999893,19,5,0,1.0,0.6666666666666666,0.8,0
25,0,cosine,4,3327.015555858612,19,8,0,0.25,1.0,0.4,0
25,0,cosine,4,3333.604518890381,20,2,0,0,0,0,0
25,0,cosine,4,3339.9339768886566,20,4,0,0,0,0,0
25,0,cosine,4,3346.4211258888245,20,7,0,0,0,0,0
25,0,cosine,4,3352.92932677269,21,1,0,0,0,0,0
25,0,cosine,4,3363.9527459144592,21,3,0,0,0,0,0
25,0,cosine,4,3373.7843940258026,26,3,0,0,0,0,0
25,0,cosine,4,3383.1114089488983,28,24,0,0,0,0,0
25,0,cosine,4,3392.2129380702972,32,0,1,0,0,0,0
25,0,cosine,4,3403.5551171302795,32,1,0,0,0,0,0
25,0,cosine,4,3412.124142885208,32,3,0,0,0,0,0
25,0,cosine,4,3420.807452917099,32,9,0,0,0,0,0
25,0,cosine,4,3427.311682701111,33,5,0,0,0,0,0
25,0,cosine,4,3435.959002971649,34,2,0,0,0,0,0
25,0,cosine,4,3444.774990797043,36,4,0,0,0,0,0
25,0,cosine,4,3456.4876947402954,37,1,0,0,0,0,0
25,0,cosine,4,3468.212194919586,37,3,0,0,0,0,0
25,0,cosine,4,3474.719976902008,37,4,0,0,0,0,0
25,0,cosine,4,3481.3025290966034,37,8,0,0,0,0,0
25,0,cosine,4,3487.6256000995636,38,8,0,0,0,0,0
25,0,cosine,4,3491.7558999061584,39,1,0,0,0,0,0
25,0,cosine,4,3499.176507949829,40,2,0,0,0,0,0
25,0,cosine,4,3506.4837477207184,43,2,0,0,0,0,0
25,0,cosine,4,3512.861172914505,43,5,0,0,0,0,0
25,0,cosine,4,3519.5830657482147,45,4,0,0,0,0,0
25,0,cosine,4,3531.451390981674,48,0,0,0,0,0,0
25,0,cosine,4,3542.946676015854,48,1,0,0,0,0,0
25,0,cosine,4,3554.4765799045563,48,2,0,0,0,0,0
25,0,cosine,4,3566.057055950165,48,3,0,0,0,0,0
25,0,cosine,4,3577.8549461364746,48,4,0,0,0,0,0
25,0,cosine,4,3589.3936269283295,48,5,0,0,0,0,0
25,0,cosine,4,3600.924628973007,48,6,0,0,0,0,0
25,0,cosine,4,3612.6097280979156,48,7,0,0,0,0,0
25,0,cosine,4,3619.2301728725433,49,7,0,0,0,0,0
